StudentID,Cryogenic Physics,Evolutionary Dynamics,Dark Energy,Stellar Chemistry,Sublight Propulsion Systems,Transdimensional Navigation,Neural Computation,Plasma Physics,Crystalline Geology,Pulsar Spectroscopy,Propulsion Systems,Radiation Shielding,Atmospheric Chemistry,Warp Field Theory,Plasmawave Analysis,Exoplanet Climatology,Astrology,Magnetosphere Modeling,Graviton Dynamics,Xyloprax Computation,Mineral Extraction,Synthetic Atmospheres,Quantum Fluids,Nanostructures Fabrication,Photonic Computing,Orbital Mechanics,Neutrino Engineering,Astrogeophysics,Genomic Engineering,Particle Isolation,Nuclear Synthesis,Xenorobotics Systems,Cartographic Topologies,Exotic Matter,Plasma Containment,Bioluminal Signals
311933,NG,NG,8,9,NG,NG,NG,7,7,8,NG,8,NG,9,8,7,7,8,9,9,NG,NG,8,NG,NG,8,7,NG,8,NG,7,8,NG,7,NG,NG
313351,8,8,8,10,8,9,7,7,8,7,7,8,NG,9,8,8,6,8,10,8,7,9,8,8,NG,9,8,NG,8,10,7,8,NG,7,7,7
310447,NG,NG,NG,NG,NG,NG,NG,8,NG,7,NG,NG,NG,NG,9,NG,NG,NG,7,7,NG,NG,8,NG,NG,NG,NG,NG,7,NG,NG,7,NG,NG,NG,NG
310399,NG,NG,NG,NG,NG,NG,NG,9,NG,9,NG,NG,NG,NG,8,NG,NG,NG,9,8,NG,NG,8,NG,NG,NG,NG,NG,8,NG,NG,7,NG,NG,NG,NG
313597,6,6,6,8,5,7,7,7,7,8,7,6,NG,7,6,6,5,7,7,6,6,7,7,6,NG,8,7,NG,6,7,6,7,NG,6,NG,5
311599,NG,NG,7,6,NG,NG,NG,6,NG,5,NG,5,NG,6,5,NG,5,4,6,6,NG,NG,NG,NG,NG,5,7,NG,5,NG,NG,3,NG,6,NG,NG
311049,NG,NG,NG,NG,NG,NG,NG,7,NG,7,NG,NG,NG,NG,8,NG,NG,NG,6,8,NG,NG,7,NG,NG,NG,NG,NG,6,NG,NG,6,NG,NG,NG,NG
311922,NG,NG,6,8,NG,NG,NG,6,8,7,NG,6,NG,6,6,5,4,5,7,5,NG,NG,7,NG,NG,7,7,NG,6,NG,6,7,NG,6,NG,NG
310610,NG,NG,NG,NG,NG,NG,NG,7,NG,6,NG,NG,NG,NG,7,NG,NG,NG,8,6,NG,NG,7,NG,NG,NG,NG,NG,6,NG,NG,7,NG,NG,NG,NG
311669,NG,NG,5,6,NG,NG,NG,5,NG,NG,NG,5,NG,6,5,6,3,NG,6,5,NG,NG,NG,NG,NG,6,NG,NG,4,NG,NG,5,NG,5,NG,NG
313547,7,9,8,8,9,8,7,7,7,8,7,8,NG,8,8,7,7,8,10,8,8,8,7,8,NG,8,8,NG,7,9,7,9,NG,8,7,6
312703,NG,NG,6,8,NG,NG,NG,6,6,6,NG,7,NG,8,7,8,5,7,9,6,NG,NG,6,NG,NG,7,7,NG,7,NG,6,7,NG,6,NG,NG
313334,5,NG,6,7,NG,5,NG,6,5,7,NG,6,NG,5,7,7,5,4,5,6,NG,NG,6,6,NG,7,7,NG,5,NG,6,6,NG,8,NG,NG
311706,NG,NG,5,4,NG,NG,NG,4,NG,NG,NG,NG,NG,6,4,NG,6,NG,6,7,NG,NG,NG,NG,NG,4,NG,NG,4,NG,NG,5,NG,6,NG,NG
311918,NG,NG,6,8,NG,NG,NG,7,7,8,NG,6,NG,6,6,6,5,5,7,6,NG,NG,8,NG,NG,8,8,NG,6,NG,7,8,NG,7,NG,NG
312245,NG,NG,8,9,NG,NG,NG,8,8,9,NG,8,NG,8,8,7,7,7,8,8,NG,NG,7,NG,NG,8,10,NG,7,NG,7,7,NG,8,NG,NG
312297,NG,NG,9,9,NG,NG,NG,8,7,7,NG,8,NG,9,9,9,NG,8,8,9,NG,NG,6,NG,NG,8,10,NG,8,NG,6,6,NG,9,NG,NG
312310,NG,NG,8,8,NG,NG,NG,7,NG,7,NG,7,NG,8,7,7,7,7,8,8,NG,NG,NG,NG,NG,6,8,NG,8,NG,5,5,NG,7,NG,NG
313611,6,NG,6,7,NG,5,NG,6,6,8,NG,7,NG,6,7,6,6,6,7,6,NG,NG,7,7,NG,8,6,NG,5,NG,7,7,NG,8,NG,NG
311729,NG,NG,7,8,NG,NG,NG,6,5,7,NG,8,NG,8,7,8,7,7,8,8,NG,NG,6,NG,NG,7,8,NG,7,NG,6,6,NG,8,NG,NG
310161,NG,NG,NG,NG,NG,NG,NG,8,NG,10,NG,NG,NG,NG,9,NG,NG,NG,8,8,NG,NG,8,NG,NG,NG,NG,NG,7,NG,NG,7,NG,NG,NG,NG
310120,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,5,6,NG,NG,NG,NG,NG,NG,NG,NG,4,NG,NG,4,NG,NG,NG,NG
310295,NG,NG,NG,NG,NG,NG,NG,6,NG,8,NG,NG,NG,NG,6,NG,NG,NG,7,5,NG,NG,8,NG,NG,NG,NG,NG,6,NG,NG,7,NG,NG,NG,NG
310177,NG,NG,NG,NG,NG,NG,NG,10,NG,9,NG,NG,NG,NG,7,NG,NG,NG,10,9,NG,NG,9,NG,NG,NG,NG,NG,9,NG,NG,8,NG,NG,NG,NG
312069,NG,NG,9,9,NG,NG,NG,7,7,6,NG,8,NG,8,8,8,6,8,9,8,NG,NG,6,NG,NG,8,8,NG,8,NG,7,6,NG,7,NG,NG
311886,NG,NG,7,10,NG,NG,NG,8,8,7,NG,7,NG,9,8,8,6,7,8,7,NG,NG,8,NG,NG,9,9,NG,8,NG,8,8,NG,7,NG,NG
311602,NG,NG,7,9,NG,NG,NG,8,7,7,NG,8,NG,8,7,7,6,8,9,7,NG,NG,8,NG,NG,8,7,NG,7,NG,7,8,NG,6,NG,NG
311678,NG,NG,6,8,NG,NG,NG,6,NG,7,NG,4,NG,5,5,4,4,4,6,6,NG,NG,NG,NG,NG,6,7,NG,5,NG,NG,5,NG,6,NG,NG
310584,NG,NG,NG,NG,NG,NG,NG,8,NG,7,NG,NG,NG,NG,8,NG,NG,NG,9,9,NG,NG,7,NG,NG,NG,NG,NG,8,NG,NG,7,NG,NG,NG,NG
310205,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,3,NG,NG,NG,7,7,NG,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,4,NG,NG,NG,NG
313734,6,6,6,8,6,7,6,7,6,6,6,7,NG,7,6,7,5,7,8,6,5,7,6,6,NG,8,7,NG,6,7,6,6,NG,6,NG,6
310461,NG,NG,NG,NG,NG,NG,NG,8,NG,8,NG,NG,NG,NG,8,NG,NG,NG,9,9,NG,NG,8,NG,NG,NG,NG,NG,7,NG,NG,7,NG,NG,NG,NG
312002,NG,NG,7,9,NG,NG,NG,8,8,8,NG,7,NG,8,6,6,6,6,8,6,NG,NG,8,NG,NG,8,8,NG,7,NG,7,7,NG,6,NG,NG
313730,6,NG,7,8,NG,7,NG,6,6,6,NG,6,NG,7,5,6,5,NG,7,6,NG,6,6,6,NG,6,6,NG,6,NG,NG,6,NG,5,NG,NG
311804,NG,NG,6,9,NG,NG,NG,7,7,7,NG,7,NG,8,8,8,4,6,7,7,NG,NG,8,NG,NG,10,7,NG,7,NG,8,8,NG,6,NG,NG
313155,5,5,6,7,NG,6,5,6,6,7,6,6,NG,6,6,6,4,5,7,6,6,6,6,6,NG,7,7,NG,6,NG,6,6,NG,6,NG,5
312317,NG,NG,8,8,NG,NG,NG,7,6,8,NG,7,NG,7,7,7,6,5,7,7,NG,NG,6,NG,NG,8,9,NG,7,NG,5,6,NG,7,NG,NG
310135,NG,NG,NG,NG,NG,NG,NG,7,NG,7,NG,NG,NG,NG,9,NG,NG,NG,10,9,NG,NG,8,NG,NG,NG,NG,NG,8,NG,NG,8,NG,NG,NG,NG
311346,NG,NG,NG,NG,NG,NG,NG,7,NG,6,NG,NG,NG,NG,8,NG,NG,NG,9,7,NG,NG,8,NG,NG,NG,NG,NG,6,NG,NG,8,NG,NG,NG,NG
310957,NG,NG,NG,NG,NG,NG,NG,7,NG,6,NG,NG,NG,NG,7,NG,NG,NG,9,8,NG,NG,6,NG,NG,NG,NG,NG,8,NG,NG,6,NG,NG,NG,NG
313581,6,7,7,8,5,7,8,7,8,9,9,7,NG,7,8,7,6,7,8,6,7,6,10,7,NG,10,8,NG,6,7,8,9,NG,7,8,6
311170,NG,NG,NG,NG,NG,NG,NG,6,NG,7,NG,NG,NG,NG,6,NG,NG,NG,8,7,NG,NG,5,NG,NG,NG,NG,NG,6,NG,NG,6,NG,NG,NG,NG
310060,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,6,NG,NG,NG,7,4,NG,NG,6,NG,NG,NG,NG,NG,4,NG,NG,6,NG,NG,NG,NG
311883,NG,NG,7,9,NG,NG,NG,8,8,8,NG,8,NG,7,7,6,6,7,10,7,NG,NG,9,NG,NG,8,8,NG,7,NG,7,9,NG,7,NG,NG
313539,8,9,8,10,8,10,9,9,10,10,9,9,NG,9,8,8,7,10,10,8,9,10,10,9,NG,10,8,NG,9,9,9,10,NG,8,8,7
311020,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,4,NG,NG,NG,6,5,NG,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,4,NG,NG,NG,NG
312356,NG,NG,8,8,NG,NG,NG,7,6,7,NG,8,NG,8,7,8,7,7,7,8,NG,NG,6,NG,NG,7,8,NG,7,NG,5,6,NG,8,NG,NG
312654,NG,NG,8,7,NG,NG,NG,7,6,9,NG,9,NG,8,8,8,8,8,8,9,NG,NG,7,NG,NG,8,8,NG,7,NG,7,8,NG,9,NG,NG
313316,6,5,6,8,6,6,7,6,6,8,8,7,NG,7,6,6,6,6,7,6,6,6,8,6,NG,7,7,NG,6,NG,6,7,NG,7,6,5
310442,NG,NG,NG,NG,NG,NG,NG,6,NG,6,NG,NG,NG,NG,7,NG,NG,NG,8,7,NG,NG,7,NG,NG,NG,NG,NG,7,NG,NG,7,NG,NG,NG,NG
310916,NG,NG,NG,NG,NG,NG,NG,8,NG,9,NG,NG,NG,NG,10,NG,NG,NG,8,9,NG,NG,8,NG,NG,NG,NG,NG,8,NG,NG,8,NG,NG,NG,NG
310730,NG,NG,NG,NG,NG,NG,NG,8,NG,8,NG,NG,NG,NG,6,NG,NG,NG,10,8,NG,NG,7,NG,NG,NG,NG,NG,8,NG,NG,7,NG,NG,NG,NG
311582,NG,NG,8,10,NG,NG,NG,7,8,7,NG,7,NG,8,8,8,6,8,9,7,NG,NG,9,NG,NG,10,9,NG,7,NG,8,8,NG,8,NG,NG
313084,6,6,6,8,5,7,7,6,7,8,8,6,NG,6,6,6,4,6,8,6,6,6,8,7,NG,9,7,NG,6,5,7,7,NG,6,NG,5
310279,NG,NG,NG,NG,NG,NG,NG,7,NG,6,NG,NG,NG,NG,5,NG,NG,NG,9,7,NG,NG,5,NG,NG,NG,NG,NG,7,NG,NG,6,NG,NG,NG,NG
312076,NG,NG,5,7,NG,NG,NG,6,6,6,NG,6,NG,7,6,7,5,7,7,6,NG,NG,7,NG,NG,8,6,NG,6,NG,6,7,NG,6,NG,NG
310428,NG,NG,NG,NG,NG,NG,NG,8,NG,9,NG,NG,NG,NG,7,NG,NG,NG,8,8,NG,NG,8,NG,NG,NG,NG,NG,6,NG,NG,8,NG,NG,NG,NG
313410,9,8,9,10,9,10,8,9,8,8,7,8,NG,9,8,8,7,8,10,8,8,10,9,8,NG,9,9,NG,8,10,7,8,NG,7,7,8
310960,NG,NG,NG,NG,NG,NG,NG,8,NG,10,NG,NG,NG,NG,8,NG,NG,NG,10,10,NG,NG,8,NG,NG,NG,NG,NG,8,NG,NG,9,NG,NG,NG,NG
311968,NG,NG,7,6,NG,NG,NG,6,NG,4,NG,5,NG,7,5,5,5,NG,8,6,NG,NG,NG,NG,NG,6,6,NG,6,NG,NG,4,NG,4,NG,NG
311995,NG,NG,7,9,NG,NG,NG,8,8,6,NG,6,NG,8,6,6,6,NG,10,6,NG,NG,7,NG,NG,7,6,NG,7,NG,6,7,NG,5,NG,NG
312714,NG,NG,7,8,NG,NG,NG,7,6,7,NG,7,NG,7,7,8,4,6,7,6,NG,NG,7,NG,NG,8,8,NG,6,NG,6,6,NG,7,NG,NG
313065,7,7,7,9,6,8,7,8,9,9,8,8,NG,8,7,7,6,7,9,7,7,8,9,7,NG,9,7,NG,7,7,8,9,NG,7,7,6
312209,NG,NG,6,6,NG,NG,NG,6,NG,6,NG,5,NG,6,5,NG,4,NG,7,6,NG,NG,NG,NG,NG,5,5,NG,6,NG,NG,5,NG,5,NG,NG
313651,5,NG,6,6,NG,4,NG,5,4,NG,NG,6,NG,6,7,7,5,4,6,6,NG,NG,6,6,NG,7,NG,NG,4,NG,6,6,NG,8,NG,NG
313191,6,NG,6,8,NG,6,NG,6,7,7,NG,6,NG,6,6,5,4,5,6,5,NG,NG,7,6,NG,8,7,NG,5,NG,6,6,NG,6,NG,NG
312767,7,7,8,9,8,8,9,8,7,9,10,8,NG,7,8,7,7,7,8,8,8,8,9,8,NG,9,9,NG,7,7,8,8,NG,9,7,7
312411,NG,NG,6,6,NG,NG,NG,5,NG,NG,NG,5,NG,6,4,NG,5,5,7,6,NG,NG,NG,NG,NG,5,NG,NG,6,NG,NG,4,NG,6,NG,NG
312194,NG,NG,4,5,NG,NG,NG,4,NG,NG,NG,NG,NG,5,6,6,2,NG,6,5,NG,NG,NG,NG,NG,6,NG,NG,4,NG,6,5,NG,5,NG,NG
311781,NG,NG,6,6,NG,NG,NG,6,NG,5,NG,5,NG,6,5,NG,4,NG,6,6,NG,NG,NG,NG,NG,5,6,NG,5,NG,NG,4,NG,5,NG,NG
311522,NG,NG,NG,NG,NG,NG,NG,8,NG,10,NG,NG,NG,NG,8,NG,NG,NG,10,9,NG,NG,8,NG,NG,NG,NG,NG,8,NG,NG,9,NG,NG,NG,NG
311796,NG,NG,5,7,NG,NG,NG,6,NG,7,NG,6,NG,6,5,5,4,NG,7,5,NG,NG,8,NG,NG,7,6,NG,5,NG,NG,7,NG,5,NG,NG
310545,NG,NG,NG,NG,NG,NG,NG,7,NG,6,NG,NG,NG,NG,7,NG,NG,NG,9,7,NG,NG,7,NG,NG,NG,NG,NG,7,NG,NG,7,NG,NG,NG,NG
310876,NG,NG,NG,NG,NG,NG,NG,6,NG,5,NG,NG,NG,NG,7,NG,NG,NG,9,7,NG,NG,6,NG,NG,NG,NG,NG,7,NG,NG,6,NG,NG,NG,NG
313048,7,7,7,9,7,8,7,7,7,7,7,7,NG,7,7,6,6,7,8,7,7,8,7,6,NG,7,8,NG,7,8,6,7,NG,7,6,7
311936,NG,NG,7,8,NG,NG,NG,7,6,7,NG,8,NG,8,7,8,6,8,9,8,NG,NG,8,NG,NG,8,7,NG,7,NG,7,8,NG,8,NG,NG
312279,NG,NG,5,7,NG,NG,NG,6,NG,5,NG,5,NG,6,4,4,3,NG,6,4,NG,NG,NG,NG,NG,6,5,NG,5,NG,NG,5,NG,5,NG,NG
312291,NG,NG,7,10,NG,NG,NG,8,8,8,NG,7,NG,7,7,7,6,6,8,6,NG,NG,9,NG,NG,9,8,NG,6,NG,8,8,NG,7,NG,NG
310794,NG,NG,NG,NG,NG,NG,NG,7,NG,7,NG,NG,NG,NG,8,NG,NG,NG,8,7,NG,NG,7,NG,NG,NG,NG,NG,6,NG,NG,7,NG,NG,NG,NG
313555,6,NG,7,7,NG,7,NG,6,NG,6,NG,6,NG,8,6,6,6,6,7,8,NG,8,NG,6,NG,6,7,NG,6,NG,4,5,NG,6,NG,NG
312501,NG,NG,6,7,NG,NG,NG,6,5,3,NG,5,NG,6,3,NG,4,NG,8,4,NG,NG,5,NG,NG,5,4,NG,6,NG,NG,6,NG,4,NG,NG
310422,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,6,NG,NG,NG,6,4,NG,NG,8,NG,NG,NG,NG,NG,4,NG,NG,7,NG,NG,NG,NG
310462,NG,NG,NG,NG,NG,NG,NG,8,NG,9,NG,NG,NG,NG,8,NG,NG,NG,10,9,NG,NG,8,NG,NG,NG,NG,NG,7,NG,NG,9,NG,NG,NG,NG
310443,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,6,NG,NG,NG,5,4,NG,NG,6,NG,NG,NG,NG,NG,4,NG,NG,6,NG,NG,NG,NG
310859,NG,NG,NG,NG,NG,NG,NG,7,NG,7,NG,NG,NG,NG,8,NG,NG,NG,9,8,NG,NG,7,NG,NG,NG,NG,NG,7,NG,NG,7,NG,NG,NG,NG
312342,NG,NG,5,7,NG,NG,NG,6,6,6,NG,5,NG,6,6,5,3,NG,7,4,NG,NG,7,NG,NG,7,6,NG,4,NG,6,6,NG,5,NG,NG
310249,NG,NG,NG,NG,NG,NG,NG,6,NG,6,NG,NG,NG,NG,7,NG,NG,NG,7,5,NG,NG,6,NG,NG,NG,NG,NG,NG,NG,NG,6,NG,NG,NG,NG
313441,5,NG,6,6,NG,6,NG,6,NG,6,NG,7,NG,7,6,6,6,6,6,7,NG,7,NG,6,NG,6,7,NG,6,NG,5,5,NG,6,NG,NG
312162,NG,NG,10,10,NG,NG,NG,8,9,10,NG,9,NG,9,8,8,9,8,10,9,NG,NG,9,NG,NG,9,9,NG,9,NG,9,10,NG,9,NG,NG
312154,NG,NG,8,8,NG,NG,NG,7,6,7,NG,7,NG,8,7,7,6,7,8,8,NG,NG,5,NG,NG,7,8,NG,7,NG,6,6,NG,7,NG,NG
311290,NG,NG,NG,NG,NG,NG,NG,8,NG,8,NG,NG,NG,NG,6,NG,NG,NG,8,6,NG,NG,8,NG,NG,NG,NG,NG,6,NG,NG,8,NG,NG,NG,NG
312741,5,NG,5,7,NG,7,NG,6,NG,5,NG,4,NG,6,4,NG,4,NG,6,5,NG,NG,NG,4,NG,5,6,NG,5,NG,NG,4,NG,4,NG,NG
310636,NG,NG,NG,NG,NG,NG,NG,6,NG,7,NG,NG,NG,NG,6,NG,NG,NG,7,6,NG,NG,6,NG,NG,NG,NG,NG,5,NG,NG,6,NG,NG,NG,NG
310463,NG,NG,NG,NG,NG,NG,NG,6,NG,6,NG,NG,NG,NG,6,NG,NG,NG,6,7,NG,NG,NG,NG,NG,NG,NG,NG,6,NG,NG,5,NG,NG,NG,NG
310027,NG,NG,NG,NG,NG,NG,NG,6,NG,6,NG,NG,NG,NG,6,NG,NG,NG,8,8,NG,NG,5,NG,NG,NG,NG,NG,7,NG,NG,6,NG,NG,NG,NG
313028,8,8,9,10,9,10,9,9,9,8,8,8,NG,10,7,8,7,9,10,8,8,10,8,8,NG,9,9,NG,8,10,7,8,NG,7,7,8
312288,NG,NG,7,10,NG,NG,NG,8,9,8,NG,8,NG,8,10,10,6,8,9,6,NG,NG,10,NG,NG,10,9,NG,7,NG,8,9,NG,9,NG,NG
310411,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,4,NG,NG,NG,6,5,NG,NG,NG,NG,NG,NG,NG,NG,4,NG,NG,5,NG,NG,NG,NG
310080,NG,NG,NG,NG,NG,NG,NG,7,NG,7,NG,NG,NG,NG,8,NG,NG,NG,8,7,NG,NG,8,NG,NG,NG,NG,NG,6,NG,NG,7,NG,NG,NG,NG
311391,NG,NG,NG,NG,NG,NG,NG,8,NG,10,NG,NG,NG,NG,7,NG,NG,NG,9,8,NG,NG,8,NG,NG,NG,NG,NG,8,NG,NG,8,NG,NG,NG,NG
312666,NG,NG,7,8,NG,NG,NG,6,6,6,NG,6,NG,6,5,5,5,NG,8,6,NG,NG,6,NG,NG,6,6,NG,6,NG,NG,6,NG,5,NG,NG
310858,NG,NG,NG,NG,NG,NG,NG,5,NG,NG,NG,NG,NG,NG,4,NG,NG,NG,8,5,NG,NG,NG,NG,NG,NG,NG,NG,6,NG,NG,5,NG,NG,NG,NG
311879,NG,NG,8,10,NG,NG,NG,9,9,9,NG,8,NG,8,7,7,6,7,8,7,NG,NG,9,NG,NG,9,9,NG,7,NG,8,8,NG,8,NG,NG
313655,9,9,8,10,10,10,6,8,7,6,7,7,NG,10,8,9,6,9,10,8,8,10,7,9,NG,9,9,NG,9,10,6,8,NG,7,7,9
313124,6,6,6,7,6,7,6,6,6,7,6,6,NG,6,6,6,5,6,8,6,5,6,6,6,NG,7,6,NG,6,6,6,7,NG,6,NG,NG
311899,NG,NG,7,8,NG,NG,NG,8,7,9,NG,7,NG,7,7,7,6,6,7,7,NG,NG,8,NG,NG,9,9,NG,7,NG,7,6,NG,8,NG,NG
311988,NG,NG,9,9,NG,NG,NG,8,8,9,NG,9,NG,9,8,8,8,9,10,9,NG,NG,8,NG,NG,9,9,NG,9,NG,8,9,NG,9,NG,NG
312783,8,7,9,9,10,8,10,8,8,9,10,8,NG,9,9,9,7,7,8,9,8,8,8,9,NG,10,10,NG,8,9,8,7,NG,10,8,10
313715,6,NG,6,7,NG,7,NG,6,6,5,NG,6,NG,7,6,6,4,NG,8,4,NG,7,6,6,NG,7,6,NG,6,NG,5,6,NG,5,NG,NG
312749,7,8,8,9,8,8,7,8,7,8,8,8,NG,9,8,7,7,8,9,9,8,8,8,8,NG,9,7,NG,8,8,8,8,NG,8,7,7
313391,6,NG,7,7,NG,7,NG,6,5,6,NG,7,NG,8,6,8,6,7,8,8,NG,8,5,7,NG,6,7,NG,7,NG,5,6,NG,6,NG,NG
311505,NG,NG,NG,NG,NG,NG,NG,6,NG,6,NG,NG,NG,NG,7,NG,NG,NG,6,6,NG,NG,6,NG,NG,NG,NG,NG,5,NG,NG,6,NG,NG,NG,NG
312201,NG,NG,7,7,NG,NG,NG,6,6,7,NG,7,NG,7,7,7,6,7,7,8,NG,NG,7,NG,NG,7,7,NG,7,NG,6,6,NG,7,NG,NG
311698,NG,NG,5,7,NG,NG,NG,6,7,6,NG,6,NG,7,8,7,4,7,8,6,NG,NG,7,NG,NG,8,6,NG,6,NG,6,8,NG,6,NG,NG
313502,6,7,7,7,7,7,6,6,7,7,6,7,NG,7,6,6,6,6,8,7,7,7,6,6,NG,6,6,NG,6,7,6,7,NG,6,5,5
311812,NG,NG,8,9,NG,NG,NG,7,7,7,NG,7,NG,8,7,7,6,8,9,8,NG,NG,7,NG,NG,7,8,NG,7,NG,6,7,NG,7,NG,NG
